table cmLineSpeedStatisticsTable, snmptable -ib, .1.3.6.1.4.1.9.9.47.1.3.4,CISCO-MODEM-MGMT-MIB, cmLineSpeedStatisticsTable
walk CISCO-AAA-SERVER-MIB,snmpwalk,.1.3.6.1.4.1.9.10.56,CISCO-AAA-SERVER-MIB,ls CISCO-AAA-SERVER-MIB
walk CISCO-AAA-SESSION-MIB,snmpwalk,.1.3.6.1.4.1.9.9.150,CISCO-AAA-SESSION-MIB,CISCO-AAA-SESSION-MIB
walk ciscoAAAServerCapability, snmpwalk, .1.3.6.1.4.1.9.7.129,CISCO-AAA-SERVER-CAPABILITY, ciscoAAAServerCapability
get cvpdnTunnelTotal,snmpget -Os,.1.3.6.1.4.1.9.10.24.1.1.1.0,CISCO-VPDN-MGMT-MIB,cvpdnTunnelTotal
get cvpdnSessionTotal,snmpget -Os,.1.3.6.1.4.1.9.10.24.1.1.2.0,CISCO-VPDN-MGMT-MIB,cvpdnSessionTotal
get cvpdnDeniedUsersTotal,snmpget -Os,.1.3.6.1.4.1.9.10.24.1.1.3.0,CISCO-VPDN-MGMT-MIB,cvpdnDeniedUsersTotal
table cvpdnSystemTable,snmptable -ib,.1.3.6.1.4.1.9.10.24.1.1.4,CISCO-VPDN-MGMT-MIB,cvpdnSystemTable
table cvpdnTunnelTable,snmptable -ib,.1.3.6.1.4.1.9.10.24.1.2.1,CISCO-VPDN-MGMT-MIB,cvpdnTunnelTable
table cvpdnTunnelAttrTable,snmptable -ib,.1.3.6.1.4.1.9.10.24.1.2.2,CISCO-VPDN-MGMT-MIB,cvpdnTunnelAttrTable
table cvpdnTunnelSessionTable,snmptable -ib,.1.3.6.1.4.1.9.10.24.1.3.1,CISCO-VPDN-MGMT-MIB,cvpdnTunnelSessionTable
table cvpdncvpdnSessionAttrTable,snmptable -ib,.1.3.6.1.4.1.9.10.24.1.3.2,CISCO-VPDN-MGMT-MIB,cvpdnSessionAttrTable
